channel_id,channel_name,channel_view_count,channel_sub_count,channel_video_count
UC-wBAxgUX9P0fXZ6-D0frRA,Isaac Butterfield,566432720,2200000,1944
UCj3UAVuBOlUnLhuIH6I-PPw,Animal Save India,48254758,88200,2792
UCMwUZZkpolWof4NRS7dIFhw,Entyce The Lyrical Vegan,202541,841,931
UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,8472012287,43200000,239086
UCBAYVbvJMTwqEBXjXYjTgwg,Voice of Vegans,786669,12500,149
UCzmZ5a3tHEpODsFzxuLMHEQ,Christina van Beek,57640,628,83
UCNZgGEAMXy0mweOYLHZPINw,SaLADS,151430,1610,314
UCxUBdi8dX80KRhPcOp3puxw,Vegan FTA,51864863,269000,2708
UC_IPQ16nPwPtY6L7GkklRmQ,The Ethical Compass,16425,129,4115
UCa6Og8sxkmukgXJXtYHsj-Q,Vegan First,991159,12800,362
UCEMQjunK6y8fUHpvHt_CEvA,Retchet Reacher,72996,373,148
UCwJfDTNqtM5n-dQBfuuHzYw,Men's Health,549789324,1740000,2130
UCqhtslrh51j20GJWzeIaPpQ,TorontoPigSave,1546837,4190,217
UCqvPQst_TF6cI94mcZwNp-A,Goatis,26436897,94000,685
UCuaj1eVLt9O2aHRN-ULEXiQ,Arvind Animal Activist,66893450,245000,418
UCLEGwCKcJZcBcnUA5zxb7qA,Debug Your Brain,377618,5720,123
UCfYW5GXBXueSO5p9bxD45qg,BBC Global,161358167,657000,661
UC3Mz8-a7fjpfgFH9GVVIpbA,Vegan Deterioration,4182983,30100,775
UCjAHbqtUpg3Fnozc7-uKHJA,The Vreedom! Quest,12889,343,182
UCdkqNHrYXPijJrXTbDZWsRw,Colburn Clark ,89131,1300,91
UCfWHJs9O3_ijije-xGcdCBA,Studio Plantaardig,31559,298,113
UC2_Ljltl3iJ6UwYCo-emmFA,Simply Just Cee!,3004850,29200,160
UC0bCUnP5RrkJZUtd3bBz6Kw,WPTV News - FL Palm Beaches and Treasure Coast,358814210,384000,126786
UCWDTumETeCmAwVxpyh73Ycw,SupremeMasterTV05,338312,789,289
UCemKrnBU6PDqkhw8arNwF4Q,VeganProteins,551180,11400,488
UCMgJsSW-nWXsr8xibxDXedg,Animal Liberation ORG,357330,1520,75
UCMp6dYTbPOrKFHMH6rGcp2g,WDEF News 12,22054078,13200,18384
UC-q4j_ttUgWmir4-Cwh_Hrg,That Vegan Teacher,112200760,266000,3394
UCCUlHoeBLAz9gbPgBUpvRyw,Fundació Grífols,160781,750,39
UCHlXspOKaWutfgmyFfoEbrQ,ITV Gold,8084274,27100,11715
UCDKJdFer1phQI95UinPZehw,Turkey Tom,364075594,1460000,251
UCEHjrp6MlVcb3tOAjCzfL1g,Los Fastidios - Topic,1165593,736,249
UCyg8o3ZgsBHKpdrbHXonWDg,Northwest VEG,2410700,19200,125
UCr_-k8z6_RKKxkjWkt8RFvA,TheSeriousfitness,288578695,1910000,311
UCrnnciiWG-V2FcblCfv_Hsg,Patrik Baboumian,2171372,39600,169
UCtbkymRCxreyNHb_ON2FCsQ,Rachael Ray Show,561829895,931000,9265
UCCgQaXjsJ6EdFPZeTFQoSyw,Brut India,3860424767,4510000,8086
UCu_rvBwaEZLZPQH1XsuyRhw,Born Vegan,136259,3450,66
UCm0SBImLucni3gEBNuekBeg,Vegan Definition,380310,4060,226
UCWBmwrzsg7LrYOJ3VLPCEmg,Veganism EXPOSED Official ,253617,586,442
UCLOPC6bOBuiSBAJ16JXLAHg,Last Night On Destiny,137946786,186000,1087
UCS4cPVBGZkhWUEoAR40DCAg,earthlingsthemovie,127791,2770,21
UC_mn5Mn952NC1WfwnOLWjew,Direct Action Everywhere - DxE,5285915,16800,1036
UCkF2Jxaj1LgL6rGYECnqyzg,Pelle W.,320626,2880,298
UCA0N4UVTnqiFB7D3oS_xdWg,Caleb Maupin,8112917,37500,4256
UCKpv0aXnKBkiU5uiEWAdpgg,Mercury News,104589260,120000,9739
UCHwGsYOPamoDQEVU8jVMLaQ,DogParkMedia,230418,818,8
UCGsGLdagsHwHa-IC8z7BEAA,Rina,36271,67,77
UClgVmK6jZTZKAIlEhK1KRVQ,sixteenleo,129302046,647000,407
UCp6nboefInuhrmvO6LAX-vA,The Flip Flop Report,96255,230,157
UCreBflW1x_t15rYxzk7ZWdw,chico roman,717,2,1
UCQwkEQ6EQc4jM2QnrvubBHg,DawahWise,297210145,356000,4447
UCCgOJgEb0YU-J9bT9KSgTfA,codoublegg,53869,18,1
UC-UXDdm9flAIsMg102LItWw,Animal Liberation TV,117910,1230,219
UCo19LOS4twIVQVU7idkiQhA,Meditate Like a Jedi with Lama Jigme Gyatso,826417,6840,5291
UCmOWFe-iF-WT8uc4GyCZq3w,Caavakushi,79243,97,351
UCM50WjJjvG4OSFyY0aO4WZw,VegfestUK,136972,1710,428
UCBhciyIVI2SzjXjIEPN4txg,David Ramms,20889992,48200,685
UCrM5AJn98SHypfKYaOKE9FA,Last Chance for Animals,17735742,46100,349
UCzBvAIHPZ_Y7chhoN5ebv_A,Best Of TRS | English,928799386,1160000,2057
UCLGjVaq0KbFy2Q5qVdc7Ukw,V for Veganism,53087,833,92
UCB_AXXiVoEIHbJrYQMsZK7g,Tabitha Brown,116611577,1110000,1665
UCfoEqIFtqfc6xBV185DQnBw,Fieldsports Channel,223858642,369000,4096
UCQXHTFnQYFTqN0MqmNh9EIA,BBC World Service,188640459,1440000,1961
UCG6usHVNuRbexyisxE27nDw,Joey Carbstrong,44407428,172000,1334
UCG_e3X-tFyaEMm1G8qyVnwg,Katherine Ivy,218302,1990,393
UCo9-XfRKRJdUgurlx7ouSUw,Catherine Klein,606177,7540,180
UCi919GSAtsLqFHjMnuWVm9Q,Alex Punx,2885119,6420,846
UCkUJdFlzJC-iuj4xya3aaVA,consumedmind,478808,431,70
UCrHkCyMI0gEMajpoeILCRhA,keltan,92931,1140,105
UC4bgv9eR44A8kh_X94LOtfw,Bonnelli Factory DGG,455763,1200,545
UCcHJvjbuK-gDkJsF6Qu5GEw,Vegan Gains Clips,18632,44,23
UCckpBac35uS4GAzQqsMBj5Q,Addis Miller,598369,10200,18
UCIZVclRuEgUn9LU6BhNtTYA,Archive of Animal Liberation Films on the ‘Net,208943,1080,64
UCXZTnzvoL4X3saPYsfLwxuA,Dr. Bobby Price,126591921,927000,856
UCIma2WOQs1Mz2AuOt6wRSUw,KenDBerryMD,440889243,3550000,1841
UC7kIy8fZavEni8Gzl8NLjOQ,Alex O'Connor,295644673,1550000,529
UCr2eKhGzPhN5RPVk5dd5o3g,Vegan Gains,37722751,309000,1551
